"Id","Nombre","CaracteristicaISO","Subcaracteristica","Metrica","ValorObjetivo","MetodoMedicion","Origen","Prioridad","TieneFuente","TieneValorObjetivo","TieneMetodo"
"RNF-16","Exactitud de la detección temprana de enfermedades (IA-01)","Adecuación funcional","Corrección funcional","Exactitud (\emph{accuracy})","$\geq$ 70~\%.","Exactitud (\emph{accuracy})","RF-26; EV-01 [09:02].","Alta","True","True","True"
"RNF-17","Tiempo de respuesta del módulo de IA de alertas y recomendaciones (IA-01)","Eficiencia de desempeño","Comportamiento temporal","Tiempo de respuesta","$\leq$ 5,0 s.","Tiempo de respuesta","RF-15; RF-26.","Alta","True","True","True"
"RNF-18","Disponibilidad del módulo de IA con degradación controlada (IA-01)","Fiabilidad","Disponibilidad","Porcentaje de funciones no relacionadas con IA operativas durante una interrupción simulada del módulo","100~\%.","Porcentaje de funciones no relacionadas con IA operativas durante una interrupción simulada del módulo","ISO/IEC 25010:2023~\cite{iso25010-2023}; RNF-02.","Alta","True","True","True"
"RNF-19","Equidad de desempeño entre cultivos de cacao y verde (IA-01)","Equidad (concepto operativo de la PE5, Sección 4.4 de la guía; no es una de las nueve características de la norma)","Ausencia de diferencias injustificadas de desempeño entre grupos","Brecha de exactitud entre grupos (cacao frente a verde)","$\leq$ 10 puntos porcentuales. Tolerancia mayor que entre subgrupos de un mismo cultivo (RNF-20), porque cacao y verde son dominios agronómicos distintos con variabilidad propia esperable.","Brecha de exactitud entre grupos (cacao frente a verde)","RF-03 (el sistema cubre ambos cultivos); sesgo de densidad de datos entre cultivos documentado por el equipo (\texttt{fichas\_IA\_datos\_y\_monitoreo.md}).","Media","True","True","True"
"RNF-20","Equidad de desempeño entre parcelas con distinto volumen de registro (IA-01)","Equidad (concepto operativo de la PE5, Sección 4.4 de la guía; no es una de las nueve características de la norma)","Ausencia de diferencias injustificadas de desempeño entre grupos","Brecha de tasa de falsos positivos entre parcelas de alto y bajo volumen de registro, usando la mediana de registros acumulados como punto de corte","$\leq$ 5 puntos porcentuales.","Brecha de tasa de falsos positivos entre parcelas de alto y bajo volumen de registro, usando la mediana de registros acumulados como punto de corte","RF-15; RF-26; sesgo de subregistro documentado por el equipo: las parcelas revisadas con más frecuencia acumulan más incidencias (\texttt{fichas\_IA\_datos\_y\_monitoreo.md}).","Media","True","True","True"
"RNF-21","Corrección de la clasificación de imágenes (IA-02)","Adecuación funcional","Corrección funcional","F1 macro promediado por clase","$\geq$ 0,85; ninguna clase individual por debajo de 0,75.","F1 macro promediado por clase","RF-29; RF-20 (catálogo de clases).","Alta","True","True","True"
"RNF-22","Tiempo de inferencia de la clasificación de imágenes (IA-02)","Eficiencia de desempeño","Comportamiento temporal","Tiempo de respuesta","$\leq$ 2,0 s.","Tiempo de respuesta","RF-29.","Alta","True","True","True"
"RNF-23","Continuidad del registro sin conectividad (IA-02)","Fiabilidad","Tolerancia a fallos","Porcentaje de registros de incidencia completables sin el módulo de clasificación disponible","100~\%.","Porcentaje de registros de incidencia completables sin el módulo de clasificación disponible","RF-16; RF-20; ISO/IEC 25010:2023~\cite{iso25010-2023}.","Alta","True","True","True"
"RNF-24","Equidad de desempeño entre condiciones de luz (IA-02)","Equidad (concepto operativo de la PE5, Sección 4.4 de la guía; no es una de las nueve características de la norma)","Ausencia de diferencias injustificadas de desempeño entre grupos","Brecha de F1 entre condición de luz (plena frente a sombra)","$\leq$ 5 puntos porcentuales.","Brecha de F1 entre condición de luz (plena frente a sombra)","RF-29; sesgo de condiciones de captura documentado por el equipo (\texttt{fichas\_IA\_datos\_y\_monitoreo.md}).","Media","True","True","True"
"RNF-25","Equidad de desempeño entre gamas de dispositivo (IA-02)","Equidad (concepto operativo de la PE5, Sección 4.4 de la guía; no es una de las nueve características de la norma)","Ausencia de diferencias injustificadas de desempeño entre grupos","Brecha de F1 entre gama de dispositivo","$\leq$ 5 puntos porcentuales.","Brecha de F1 entre gama de dispositivo","RF-29; sesgo de predominio de un único dispositivo en la captura inicial, documentado por el equipo (\texttt{fichas\_IA\_datos\_y\_monitoreo.md}).","Media","True","True","True"
"RNF-26","Explicabilidad de la clasificación de imágenes (IA-02)","Interacción de usuario","Autodescriptividad","Proporción de propuestas que incluyen clase, confianza y región señalada de forma simultánea","100~\%.","Proporción de propuestas que incluyen clase, confianza y región señalada de forma simultánea","RF-29; marco de explicabilidad de la Sección~\ref{sec:explicabilidad-ia} (Chazette et al.~\cite{chazette2020,chazette2021,chazette2022}); EV-01 [09:02].","Alta","True","True","True"
