"Par","Ambito","Conflicto","Veredicto","Observacion"
"RF-16 <-> RF-20","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-16 <-> RF-24","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-16 <-> RNF-07","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-16 <-> RNF-09","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-17 <-> RF-20","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-17 <-> RF-24","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-17 <-> RNF-07","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-17 <-> RNF-09","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-20 <-> RF-24","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-20 <-> RNF-07","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-20 <-> RNF-09","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-24 <-> RNF-07","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-24 <-> RNF-09","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-07 <-> RNF-09","Registro agricola, cosecha y fitosanitario","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-06 <-> RF-21","Insumos y compras","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-06 <-> RF-22","Insumos y compras","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-21 <-> RF-22","Insumos y compras","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-08 <-> RF-09","Planificacion y asignacion de tareas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-08 <-> RF-10","Planificacion y asignacion de tareas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-09 <-> RF-10","Planificacion y asignacion de tareas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-07 <-> RF-11","Produccion, reportes e ingresos","No","Compatibles","Sin contradiccion; solapamiento funcional parcial documentado como observacion de mantenibilidad."
"RF-07 <-> RF-12","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-07 <-> RF-13","Produccion, reportes e ingresos","No","Compatibles","Sin contradiccion; solapamiento funcional parcial documentado como observacion de mantenibilidad."
"RF-07 <-> RF-18","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-07 <-> RF-19","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-07 <-> RF-23","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-07 <-> RF-27","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-07 <-> RNF-08","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-11 <-> RF-12","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-11 <-> RF-13","Produccion, reportes e ingresos","No","Compatibles","Sin contradiccion; solapamiento funcional parcial documentado como observacion de mantenibilidad."
"RF-11 <-> RF-18","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-11 <-> RF-19","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-11 <-> RF-23","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-11 <-> RF-27","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-11 <-> RNF-08","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-12 <-> RF-13","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-12 <-> RF-18","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-12 <-> RF-19","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-12 <-> RF-23","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-12 <-> RF-27","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-12 <-> RNF-08","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-13 <-> RF-18","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-13 <-> RF-19","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-13 <-> RF-23","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-13 <-> RF-27","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-13 <-> RNF-08","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-18 <-> RF-19","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-18 <-> RF-23","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-18 <-> RF-27","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-18 <-> RNF-08","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-19 <-> RF-23","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-19 <-> RF-27","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-19 <-> RNF-08","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-23 <-> RF-27","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-23 <-> RNF-08","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-27 <-> RNF-08","Produccion, reportes e ingresos","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-15 <-> RF-25","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-15 <-> RF-26","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-15 <-> RF-28","IA-01 recomendador y alertas","No","Compatibles","RF-28 cierra el ciclo de RF-15: la recomendacion se confirma o descarta y la decision retroalimenta el historial."
"RF-15 <-> RNF-15","IA-01 recomendador y alertas","No","Compatibles","La explicabilidad M15.1-M15.4 aplica directamente a las recomendaciones de RF-15."
"RF-15 <-> RNF-16","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-15 <-> RNF-17","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-15 <-> RNF-18","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-15 <-> RNF-19","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-15 <-> RNF-20","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-25 <-> RF-26","IA-01 recomendador y alertas","No","Compatibles","Complementarias: alerta por regla (gravedad alta) frente a alerta temprana IA previa a confirmacion; diferenciacion soportada por RNF-15 M15.2."
"RF-25 <-> RF-28","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-25 <-> RNF-15","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-25 <-> RNF-16","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-25 <-> RNF-17","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-25 <-> RNF-18","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-25 <-> RNF-19","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-25 <-> RNF-20","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-26 <-> RF-28","IA-01 recomendador y alertas","No","Compatibles","Complementarias: la alerta temprana de RF-26 queda sujeta a confirmacion o descarte humano segun RF-28."
"RF-26 <-> RNF-15","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-26 <-> RNF-16","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-26 <-> RNF-17","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-26 <-> RNF-18","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-26 <-> RNF-19","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-26 <-> RNF-20","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-28 <-> RNF-15","IA-01 recomendador y alertas","No","Compatibles","La decision de RF-28 debe presentarse con la explicacion simultanea exigida por RNF-15 (M15.2)."
"RF-28 <-> RNF-16","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-28 <-> RNF-17","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-28 <-> RNF-18","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-28 <-> RNF-19","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-28 <-> RNF-20","IA-01 recomendador y alertas","No","Compatibles","El descarte frecuente en parcelas con poco volumen de registro activaria la revision de sesgo descrita en RNF-20."
"RNF-15 <-> RNF-16","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-15 <-> RNF-17","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-15 <-> RNF-18","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-15 <-> RNF-19","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-15 <-> RNF-20","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-16 <-> RNF-17","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-16 <-> RNF-18","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-16 <-> RNF-19","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-16 <-> RNF-20","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-17 <-> RNF-18","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-17 <-> RNF-19","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-17 <-> RNF-20","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-18 <-> RNF-19","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-18 <-> RNF-20","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-19 <-> RNF-20","IA-01 recomendador y alertas","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-29 <-> RF-30","IA-02 detector de plagas por imagen","No","Compatibles","Secuencia coherente: RF-30 registra la clase propuesta por RF-29 una vez confirmada; sin duplicacion de catalogo."
"RF-29 <-> RF-31","IA-02 detector de plagas por imagen","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-29 <-> RNF-21","IA-02 detector de plagas por imagen","No","Compatibles","La latencia objetivo de RNF-21 aplica al flujo de clasificacion que expone RF-29."
"RF-29 <-> RNF-22","IA-02 detector de plagas por imagen","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-29 <-> RNF-23","IA-02 detector de plagas por imagen","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-29 <-> RNF-24","IA-02 detector de plagas por imagen","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-29 <-> RNF-25","IA-02 detector de plagas por imagen","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-29 <-> RNF-26","IA-02 detector de plagas por imagen","No","Compatibles","La explicabilidad exigida a IA-02 aplica al detector de RF-29, simetrico a RNF-15 para IA-01."
"RF-30 <-> RF-31","IA-02 detector de plagas por imagen","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-30 <-> RNF-21","IA-02 detector de plagas por imagen","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-30 <-> RNF-22","IA-02 detector de plagas por imagen","No","Compatibles","La exactitud objetivo de RNF-22 se mide sobre las clases confirmadas que produce RF-30."
"RF-30 <-> RNF-23","IA-02 detector de plagas por imagen","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-30 <-> RNF-24","IA-02 detector de plagas por imagen","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-30 <-> RNF-25","IA-02 detector de plagas por imagen","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-30 <-> RNF-26","IA-02 detector de plagas por imagen","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-31 <-> RNF-21","IA-02 detector de plagas por imagen","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-31 <-> RNF-22","IA-02 detector de plagas por imagen","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-31 <-> RNF-23","IA-02 detector de plagas por imagen","No","Compatibles","La alerta por incidencias acumuladas de RF-31 respeta la ventana temporal medida por RNF-23."
"RF-31 <-> RNF-24","IA-02 detector de plagas por imagen","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-31 <-> RNF-25","IA-02 detector de plagas por imagen","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RF-31 <-> RNF-26","IA-02 detector de plagas por imagen","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-21 <-> RNF-22","IA-02 detector de plagas por imagen","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-21 <-> RNF-23","IA-02 detector de plagas por imagen","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-21 <-> RNF-24","IA-02 detector de plagas por imagen","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-21 <-> RNF-25","IA-02 detector de plagas por imagen","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-21 <-> RNF-26","IA-02 detector de plagas por imagen","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-22 <-> RNF-23","IA-02 detector de plagas por imagen","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-22 <-> RNF-24","IA-02 detector de plagas por imagen","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-22 <-> RNF-25","IA-02 detector de plagas por imagen","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-22 <-> RNF-26","IA-02 detector de plagas por imagen","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-23 <-> RNF-24","IA-02 detector de plagas por imagen","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-23 <-> RNF-25","IA-02 detector de plagas por imagen","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-23 <-> RNF-26","IA-02 detector de plagas por imagen","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-24 <-> RNF-25","IA-02 detector de plagas por imagen","No","Compatibles","Equidad de la misma familia IA-02: condiciones de luz frente a gamas de dispositivo; metricas independientes y compatibles."
"RNF-24 <-> RNF-26","IA-02 detector de plagas por imagen","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-25 <-> RNF-26","IA-02 detector de plagas por imagen","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-02 <-> RNF-04","Calidad transversal","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-02 <-> RNF-05","Calidad transversal","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-02 <-> RNF-06","Calidad transversal","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-02 <-> RNF-12","Calidad transversal","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-02 <-> RNF-13","Calidad transversal","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-02 <-> RNF-14","Calidad transversal","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-04 <-> RNF-05","Calidad transversal","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-04 <-> RNF-06","Calidad transversal","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-04 <-> RNF-12","Calidad transversal","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-04 <-> RNF-13","Calidad transversal","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-04 <-> RNF-14","Calidad transversal","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-05 <-> RNF-06","Calidad transversal","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-05 <-> RNF-12","Calidad transversal","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-05 <-> RNF-13","Calidad transversal","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-05 <-> RNF-14","Calidad transversal","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-06 <-> RNF-12","Calidad transversal","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-06 <-> RNF-13","Calidad transversal","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-06 <-> RNF-14","Calidad transversal","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-12 <-> RNF-13","Calidad transversal","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-12 <-> RNF-14","Calidad transversal","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
"RNF-13 <-> RNF-14","Calidad transversal","No","Compatibles","Analisis de par dentro del mismo ambito sin contradiccion directa ni indirecta."
